,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
а,0.0,0.00161,0.00307,0.00069,0.00165,0.00108,0.00122,0.00365,0.00014,0.00064,0.00427,0.00569,0.00308,0.00314,"0,00002",0.00048,0.00257,0.00461,0.0045,"0,00007","0,00003",0.00071,"0,00004",0.00055,0.00091,0.00023,0.0,0.0,"0,00001",0.00076,0.00168,0.0164
б,0.00055,"0,00003","0,00005",0.0,"0,00001",0.00386,0.0,0.0,0.00113,0.0,"0,00009",0.00094,"0,00004",0.00052,0.0022,0.0,0.00129,0.0004,0.0,0.00106,0.0,"0,00008",0.0,0.0,"0,00001",0.0004,0.00017,0.00461,0.0,0.0,0.00054,0.00029
в,0.00592,"0,00001","0,00002","0,00001",0.00026,0.00481,0.0,0.00034,0.00263,0.0,0.00017,0.00107,0.00017,0.001,0.00621,0.00036,0.00065,0.0029,0.00025,0.00044,0.0,"0,00001",0.0,"0,00006",0.00054,0.0,0.00016,0.00233,"0,00001",0.0,0.00029,0.00539
г,0.00101,0.00019,0.0,0.0,0.001,0.0001,0.0,0.0,0.00037,0.0,0.00015,0.00221,0.0,0.00012,0.00747,0.0,0.00032,"0,00008",0.0,0.00044,0.0,0.0,0.0,"0,00003",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00051
д,0.00485,0.0,0.00058,"0,00001","0,00005",0.00441,0.00073,"0,00001",0.00242,0.0,0.00021,0.00078,"0,00005",0.00159,0.00522,0.00018,0.00111,0.00052,0.00012,0.00175,0.0,"0,00006",0.00015,"0,00002",0.00022,0.0,0.00059,0.00052,"0,00001","0,00003",0.0003,0.00083
е,"0,00001",0.00111,0.00112,0.0034,0.00362,0.0027,0.00086,0.00122,0.0001,0.00333,0.00109,0.00447,0.00472,0.00844,0.00032,0.00067,0.00682,0.00434,0.0066,0.00014,0.0,0.0005,0.00026,0.00116,0.0008,0.00055,0.0,0.0,"0,00002",0.00026,0.00017,0.01996
ж,0.00094,"0,00002",0.0,0.0,0.00108,0.00433,0.0,0.0,0.0012,0.0,"0,00007","0,00002",0.0,0.00104,"0,00007",0.0,0.0,"0,00001",0.0,0.00013,0.0,0.0,0.0,"0,00003",0.0,0.0,"0,00001",0.0,0.0,0.0,0.0,0.0002
з,0.00578,0.00015,0.00089,0.00038,0.00074,0.00035,"0,00008",0.00021,0.00063,0.0,0.00014,0.0002,0.00038,0.00185,0.00064,0.0,0.00029,0.0,0.0,0.00058,0.0,0.0,0.0,"0,00002","0,00001",0.0,"0,00008",0.00043,0.0,0.0,0.00024,0.00121
и,"0,00006",0.00058,0.00225,0.00045,0.00126,0.00292,0.00012,0.00336,0.00073,0.00066,0.00151,0.00447,0.00283,0.00366,0.00011,0.00021,0.00044,0.00537,0.00437,0.0,0.0,0.0019,0.00067,0.0008,0.00066,"0,00009",0.0,0.0,"0,00001",0.00042,0.00188,0.01658
й,0.0,0.0,"0,00001","0,00001",0.0001,0.0,0.0,"0,00001","0,00001",0.0,"0,00008","0,00002","0,00004",0.0009,"0,00001",0.0,0.0,0.00039,0.00027,0.0,0.0,0.0,0.0,0.00011,0.00019,0.0,0.0,0.0,"0,00001",0.0,0.0,0.00644
