,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
к,0.00539,0.0,"0,00004",0.0,0.0,0.00031,0.0001,0.0,0.00166,0.0,0.0,0.00051,0.0,0.00036,0.00821,0.0,0.00099,"0,00003",0.00038,0.00077,0.0,0.00033,"0,00001",0.0,"0,00003",0.0,0.0,0.0,0.00025,0.0,0.0,0.0036
л,0.0076,0.0,"0,00004",0.00017,0.00015,0.00355,0.00052,"0,00001",0.0085,0.0,0.0003,0.0004,"0,00002",0.00046,0.00575,"0,00001",0.0,0.00074,"0,00006",0.00158,0.0,0.0,0.0,0.00012,0.0,0.0,0.00416,0.00042,"0,00003",0.00093,0.00142,0.0027
м,0.0022,"0,00009","0,00001","0,00001",0.0,0.00374,0.0,0.0,0.00467,0.0,"0,00005",0.0002,"0,00005",0.0019,0.00431,"0,00009","0,00003",0.0002,"0,00008",0.00212,0.0,0.0,"0,00001","0,00002",0.0,0.0,0.00014,0.00102,"0,00007",0.0,0.00053,0.00848
н,0.00984,0.0,"0,00001",0.00092,0.00027,0.012,0.0,0.00032,0.00863,0.0,"0,00008",0.0,0.0,0.00348,0.00907,0.0,0.00013,0.0003,0.00042,0.00168,0.0,0.0,0.00034,0.00014,0.0,0.0001,0.00074,0.00286,0.0,0.0001,0.00131,0.00338
о,0.0,0.00505,0.00603,0.0046,0.00454,0.00216,0.00206,0.00139,0.00093,0.00332,0.00169,0.00618,0.0054,0.00619,0.00037,0.00102,0.00485,0.00723,0.00599,"0,00006","0,00008",0.00027,"0,00006",0.00184,0.00072,0.00013,0.0,0.0,0.0001,0.00017,0.00087,0.02093
п,0.00074,0.0,0.0,0.0,0.0,0.00166,0.0,0.0,0.00087,0.0,"0,00006",0.00034,0.0,"0,00005",0.00881,"0,00001",0.00718,"0,00004","0,00003",0.00041,0.0,"0,00001",0.0,"0,00001",0.0,0.0,"0,00002",0.00029,0.0,0.0,0.00012,"0,00001"
р,0.00753,"0,00007",0.00027,0.00016,0.00072,0.00593,0.00034,"0,00002",0.00466,0.0,0.00014,0.00025,"0,00006",0.00071,0.00579,"0,00008","0,00001",0.00113,0.00034,0.00173,0.00016,"0,00004","0,00002",0.00012,0.00027,"0,00001",0.00045,0.00112,"0,00001","0,00005",0.00068,0.00152
с,0.0014,"0,00003",0.0016,"0,00001",0.00024,0.00377,0.0,0.0,0.00225,0.0,0.00278,0.00336,0.00074,0.00075,0.00289,0.00146,0.00036,0.00161,0.01337,0.00077,"0,00008",0.00022,"0,00004",0.00064,"0,00004",0.0,0.00359,0.00014,0.00014,"0,00008",0.00363,0.00383
т,0.00483,"0,00002",0.00349,"0,00001","0,00008",0.00637,0.0,"0,00004",0.00354,0.0,0.00044,0.00054,"0,00002",0.00129,0.01197,0.0001,0.00236,0.00145,0.0003,0.00082,"0,00007",0.0,0.0001,"0,00009",0.0,"0,00005",0.0081,0.00087,0.0,"0,00001",0.00045,0.00565
у,"0,00001",0.00036,0.001,0.00097,0.00205,0.00028,0.00126,0.0004,0.00046,"0,00009",0.00036,0.0007,0.001,0.00011,"0,00001",0.00064,0.0002,0.00085,0.00132,0.0,0.0,0.00023,0.0,0.001,0.00052,0.00037,0.0,0.0,"0,00003",0.00088,"0,00006",0.00503
ф,"0,00006",0.0,0.0,0.0,0.0,"0,00002",0.0,0.0,0.00031,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,"0,00003","0,00001",0.0,"0,00005",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00001"
х,0.00058,0.0,0.00012,0.0,0.0,0.00047,0.0,0.0,"0,00009",0.0,"0,00001","0,00003","0,00001","0,00006",0.00218,0.0,"0,00008","0,00003",0.0,"0,00009",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00001",0.0,0.0,0.0033
ц,0.00033,0.0,"0,00001",0.0,0.0,0.0007,0.0,0.0,0.00011,0.0,"0,00001",0.0,0.0,0.0,0.00012,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00025
ч,0.00198,0.0,0.0,0.0,0.0,0.00318,0.0,0.0,0.00149,0.0,0.00012,"0,00008",0.0,0.0008,"0,00003",0.0,"0,00002","0,00001",0.0038,0.00058,0.0,0.0,0.0,0.0,0.00017,0.0,0.00017,0.0,0.0,0.0,0.0,"0,00002"
ш,0.00089,0.0,"0,00001",0.0,0.0,0.00221,0.0,0.0,0.00158,0.0,0.00026,0.0005,0.0,0.00025,0.0002,0.0,0.0,0.0,"0,00001",0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,"0,00007"
щ,0.00034,0.0,0.0,0.0,0.0,0.00164,0.0,0.0,0.00051,0.0,0.0,0.0,0.0,"0,00002",0.0,0.0,"0,00002",0.0,0.0,"0,00009",0.0,0.0,0.0,0.0,0.0,0.0,"0,00003",0.0,0.0,0.0,0.0,0.0
ь,0.0,0.00016,"0,00001","0,00003","0,00001",0.0005,0.0,0.00022,"0,00008",0.0,0.00116,0.0,0.00052,0.00131,0.0,"0,00001",0.0,0.00181,"0,00007","0,00001",0.0,0.0,"0,00004","0,00003",0.00067,"0,00002",0.0,0.0,"0,00003",0.00043,0.00047,0.0111
ы,0.0,0.00019,0.00092,"0,00007",0.0001,0.00092,"0,00001",0.00016,"0,00001",0.00076,0.00019,0.00193,0.00154,0.00017,"0,00001","0,00008",0.00031,0.00069,0.00075,0.0,0.0,0.00083,0.0,0.00012,0.0003,"0,00001",0.0,0.0,"0,00001",0.0,"0,00002",0.00515
э,0.0,0.0,0.0,"0,00001","0,00001",0.0,0.0,0.0,0.0,0.0,"0,00008",0.00126,"0,00001","0,00002",0.0,"0,00002",0.00021,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.0,0.00042,0.0,0.0,0.00032,0.0,0.0,"0,00001","0,00001",0.0,"0,00001",0.0,"0,00001","0,00006",0.0,0.0,"0,00002",0.00029,0.00026,0.0,0.0,0.0,0.0,"0,00008","0,00003",0.00036,0.0,0.0,0.0,"0,00001",0.0,0.00234
я,0.0,"0,00002",0.00033,"0,00006",0.00041,0.00015,0.00012,0.00034,"0,00005","0,00007",0.00018,0.00055,0.00048,0.00052,"0,00001","0,00004","0,00003",0.00051,0.00142,"0,00001",0.0,0.0002,"0,00005",0.00012,"0,00001",0.0002,0.0,0.0,"0,00001",0.0001,0.00011,0.01074
 ,0.00075,0.00783,0.01477,0.00199,0.00835,0.0056,0.00168,0.00335,0.00809,"0,00001",0.00765,0.00297,0.00879,0.01496,0.01309,0.01559,0.00354,0.01468,0.00539,0.00446,0.00038,0.00143,0.00021,0.00531,0.00041,"0,00003",0.0,0.0,0.00325,"0,00006",0.00207,0.00217
