,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я
а,"0,00009",0.00296,0.00501,0.00118,0.00314,0.00216,0.00151,0.00467,0.00118,0.00064,0.00592,0.00752,0.00463,0.00597,0.00161,0.00224,0.00346,0.00712,0.00605,0.00072,0.0001,0.00094,"0,00006",0.00129,0.00114,0.00029,0.0,0.0,0.00064,0.00099,0.00211
б,0.00069,"0,00004","0,00005",0.0,"0,00003",0.00455,0.0,"0,00001",0.00132,0.0,0.00012,0.00114,"0,00006",0.00057,0.00255,0.0,0.00158,0.00044,0.0,0.00127,0.0,0.0001,0.0,0.0,"0,00001",0.00049,0.0002,0.00549,0.00017,0.0,0.00063
в,0.00689,0.0002,0.00029,0.00029,0.00067,0.00611,"0,00003",0.00043,0.00347,0.0,0.00076,0.00179,0.00049,0.0017,0.00777,0.00097,0.00094,0.00428,0.00075,0.00057,0.0,0.00015,"0,00002",0.00025,0.00069,0.0,0.00019,0.00305,0.00034,"0,00001",0.00031
г,0.0012,0.00031,"0,00004",0.0,0.00127,0.00014,0.0,"0,00002",0.00051,0.0,0.0002,0.00273,"0,00003",0.00015,0.00886,"0,00004",0.00038,0.00016,"0,00001",0.0006,0.0,0.0,0.0,"0,00006",0.0,0.0,0.0,0.0,"0,00001",0.0,0.0
д,0.00588,"0,00003",0.00075,"0,00003","0,00009",0.00543,0.00081,"0,00004",0.00292,0.0,0.00029,0.00092,"0,00009",0.00207,0.0064,0.00032,0.00137,0.00071,0.00017,0.00199,0.0,"0,00006",0.00021,"0,00008",0.00022,0.0,0.00069,0.00061,"0,00003","0,00005",0.00045
е,0.00012,0.00253,0.00342,0.0042,0.0055,0.00379,0.00141,0.00212,0.00125,0.00397,0.00225,0.00566,0.0074,0.01206,0.00239,0.00368,0.00842,0.0081,0.00837,0.00095,"0,00002",0.00088,0.00033,0.00211,0.00095,0.00073,0.0,0.0,0.00035,0.00029,0.00041
ж,0.00111,"0,00004","0,00002","0,00001",0.00126,0.00532,0.0,"0,00001",0.00139,0.0,"0,00009","0,00002","0,00002",0.00129,0.00012,"0,00002","0,00001","0,00003","0,00001",0.00014,0.0,0.0,0.0,"0,00007",0.0,0.0,"0,00001",0.0,0.0,0.0,"0,00002"
з,0.00692,0.00023,0.00117,0.00053,0.00102,0.00047,0.00013,0.00024,0.0008,0.0,0.00023,0.00038,0.00048,0.00238,0.00087,0.00014,0.00039,0.00013,"0,00006",0.0007,0.0,"0,00003","0,00001","0,00003",0.0,0.0,"0,00009",0.00054,"0,00003",0.0,0.00036
и,0.00021,0.00175,0.00498,0.00073,0.00236,0.00418,0.00026,0.00433,0.00197,0.00081,0.00283,0.00529,0.00445,0.00623,0.00185,0.00216,0.00103,0.00781,0.00582,0.00053,"0,00004",0.00263,0.00077,0.00142,0.00074,0.00013,0.0,0.0,0.00048,0.00049,0.00263
й,"0,00008",0.00029,0.00063,0.00011,0.00064,0.0001,0.00013,0.00013,0.00053,0.0,0.00044,0.00013,0.00048,0.00169,0.00059,0.00093,0.00026,0.00128,0.00062,0.00017,"0,00002",0.00012,"0,00004",0.00037,0.00027,0.0,0.0,0.0,0.0001,0.0,0.0001
