,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я
к,0.00661,0.00018,0.00034,"0,00003",0.00021,0.0005,0.00018,"0,00007",0.00209,0.0,0.00031,0.00066,0.00045,0.00094,0.01037,0.00028,0.0013,0.00042,0.00067,0.00108,"0,00005",0.0005,"0,00001","0,00009","0,00005",0.0,0.0,0.0,0.00042,0.0,"0,00007"
л,0.00894,0.0002,0.00039,0.00023,0.00034,0.00451,0.00056,"0,00008",0.0105,0.0,0.00045,0.00051,0.00017,0.00081,0.00713,0.00025,"0,00004",0.00116,0.00014,0.00182,0.0,0.0,0.0,0.0003,0.0,0.0,0.00513,0.00046,0.00011,0.00118,0.00164
м,0.00279,0.0005,0.00088,0.00014,0.00081,0.0049,0.0001,0.00019,0.00613,0.0,0.00047,0.00043,0.00053,0.00297,0.00638,0.00105,0.00028,0.00121,0.00029,0.00298,"0,00001","0,00009","0,00002",0.00054,"0,00005",0.0,0.0002,0.00115,0.00024,"0,00001",0.0008
н,0.01147,0.00023,0.00045,0.00114,0.00045,0.01431,"0,00004",0.00045,0.01059,0.0,0.00021,"0,00002",0.00017,0.00457,0.01111,0.00052,0.00022,0.00079,0.00055,0.00211,0.0,"0,00004",0.00039,0.00027,0.0,0.00012,0.00085,0.00326,"0,00003",0.00014,0.00152
о,"0,00007",0.00737,0.00964,0.00568,0.00653,0.00346,0.00282,0.00224,0.0022,0.00389,0.0028,0.00765,0.00755,0.00982,0.00275,0.00376,0.00648,0.01104,0.00807,0.00088,0.0001,0.00059,"0,00009",0.0033,0.001,0.0002,0.0,0.0,0.00057,0.00024,0.00144
п,0.00087,0.0,0.0,0.0,0.0,0.00189,0.0,0.0,0.00106,0.0,"0,00007",0.00047,0.0,0.0001,0.01064,"0,00001",0.00892,"0,00008","0,00004",0.00048,0.0,"0,00001",0.0,"0,00001",0.0,0.0,"0,00001",0.00033,0.0,0.0,0.00015
р,0.00884,0.00036,0.00042,0.0002,0.00115,0.00709,0.00045,"0,00005",0.00561,0.0,0.00037,0.00031,0.00012,0.00099,0.0066,0.00023,"0,00002",0.00143,0.00046,0.00226,0.00019,"0,00008","0,00002",0.00016,0.00033,"0,00001",0.00045,0.00136,"0,00002","0,00006",0.00079
с,0.00172,0.00083,0.00208,0.00018,0.00065,0.00458,"0,00008","0,00005",0.00287,0.0,0.00349,0.00406,0.00104,0.00148,0.00355,0.00198,0.00056,0.00201,0.0163,0.00102,0.00015,0.00031,"0,00004",0.0008,"0,00006",0.0,0.00436,0.00021,0.00033,"0,00009",0.0046
т,0.00582,0.00031,0.00489,"0,00007",0.00047,0.00766,0.00011,0.00017,0.00463,0.0,0.00081,0.00074,0.00039,0.00228,0.01461,0.00082,0.00301,0.00237,0.0006,0.00128,"0,00008","0,00004",0.00014,0.0003,"0,00002","0,00006",0.00956,0.00111,0.00013,"0,00002",0.00076
у,"0,00004",0.00064,0.00168,0.00119,0.00253,0.00056,0.00158,0.00057,0.00101,0.0001,0.00069,0.00086,0.0015,0.00098,0.00052,0.00118,0.00031,0.00144,0.0018,0.00016,"0,00003",0.00033,"0,00001",0.00144,0.00073,0.00044,0.0,0.0,0.00017,0.00106,0.00014
ф,"0,00006",0.0,0.0,0.0,0.0,"0,00002",0.0,0.0,0.00039,0.0,0.0,"0,00001",0.0,"0,00001",0.00028,0.0,"0,00007","0,00002",0.0,"0,00005",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
х,0.00072,0.0001,0.00053,"0,00006",0.00028,0.0006,"0,00005",0.00011,0.00027,0.0,0.0002,0.00015,0.0002,0.00032,0.00284,0.0005,0.00025,0.00039,0.0001,0.00018,"0,00002","0,00003",0.0,0.0001,0.0,0.0,0.0,0.0,"0,00005","0,00001","0,00005"
ц,0.00045,0.0,"0,00006",0.0,"0,00002",0.00081,0.0,0.0,0.00014,0.0,"0,00003",0.0,"0,00002","0,00004",0.00019,"0,00002","0,00001","0,00003",0.0,0.00017,0.0,0.0,0.0,"0,00001",0.0,0.0,0.0,0.00011,"0,00001",0.0,0.0
ч,0.00245,0.0,"0,00001",0.0,0.0,0.00372,0.0,0.0,0.00172,0.0,0.00015,"0,00007",0.0,0.00097,"0,00004",0.0,"0,00003","0,00001",0.00444,0.00075,"0,00001",0.0,0.0,0.0,0.00018,0.0,0.00025,0.0,0.0,0.0,0.0
ш,0.00104,0.0,0.0,0.0,"0,00002",0.00269,0.0,0.0,0.00173,0.0,0.00033,0.00061,0.0,0.00031,0.0002,"0,00001",0.0,"0,00001",0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0
щ,0.00035,0.0,0.0,0.0,0.0,0.00187,0.0,0.0,0.00068,0.0,0.0,0.0,0.0,"0,00003",0.0,0.0,"0,00003",0.0,0.0,"0,00008",0.0,0.0,0.0,0.0,0.0,0.0,"0,00003",0.0,0.0,0.0,0.0
ь,"0,00006",0.00067,0.00152,0.00013,0.00054,0.00122,0.0001,0.00054,0.00079,0.0,0.00208,0.00025,0.00136,0.00273,0.00096,0.00118,0.00027,0.00326,0.00052,0.00039,0.0,"0,00007","0,00008",0.00079,0.00087,"0,00002",0.0,0.0,0.00026,0.00058,0.00073
ы,"0,00002",0.00045,0.0017,0.00014,0.00041,0.00124,"0,00007",0.00032,0.00034,0.001,0.00041,0.00244,0.00219,0.00089,0.00054,0.00061,0.00043,0.00132,0.0012,0.00021,0.0,0.00108,"0,00001",0.00024,0.00043,"0,00001",0.0,0.0,0.00014,0.0,0.00014
э,0.0,0.0,"0,00001","0,00001","0,00001",0.0,0.0,0.0,0.0,0.0,0.0001,0.00139,"0,00002","0,00002",0.0,"0,00002",0.00023,"0,00001",0.00301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,"0,00002",0.00062,0.00024,"0,00004",0.00043,"0,00008","0,00006","0,00006",0.0002,"0,00001",0.00019,"0,00006",0.00011,0.00029,0.00022,0.00023,"0,00008",0.00061,0.00036,"0,00007","0,00002","0,00001","0,00001",0.00026,"0,00003",0.00041,0.0,0.0,"0,00004","0,00002","0,00003"
я,"0,00007",0.00065,0.00177,0.0002,0.00107,0.00071,0.00018,0.00078,0.00081,"0,00009",0.00085,0.00094,0.00118,0.00218,0.00099,0.00127,0.00031,0.00175,0.002,0.00048,"0,00002",0.00029,"0,00006",0.00046,"0,00003",0.0002,0.0,0.0,0.00025,0.00012,0.00022
