,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
у,"0,00001",0.00035,0.001,0.00098,0.002,0.00028,0.0013,0.00042,0.0005,"0,00009",0.00039,0.00068,0.001,0.00014,"0,00001",0.00059,0.00019,0.00085,0.00134,0.0,0.0,0.00023,0.0,0.00094,0.00053,0.00035,0.0,0.0,"0,00002",0.00088,"0,00007",0.00506
ф,"0,00004",0.0,0.0,0.0,0.0,"0,00002",0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,"0,00005","0,00002",0.0,"0,00004",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00001"
х,0.00058,0.0,0.00014,0.0,0.0,0.00044,0.0,0.0,"0,00009",0.0,0.0,"0,00003","0,00001","0,00005",0.00208,0.0,"0,00007","0,00002",0.0,"0,00008",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0,00001",0.0,0.0,0.00333
ц,0.0004,0.0,"0,00001",0.0,0.0,0.00074,0.0,0.0,0.0001,0.0,"0,00001",0.0,0.0,0.0,0.00012,0.0,0.0,0.0,0.0,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00026
ч,0.00201,0.0,0.0,0.0,0.0,0.00316,0.0,0.0,0.00146,0.0,0.00013,"0,00007",0.0,0.0008,"0,00004",0.0,"0,00002","0,00001",0.00376,0.00061,0.0,0.0,0.0,0.0,0.00016,0.0,0.00018,0.0,0.0,0.0,0.0,"0,00002"
ш,0.00088,0.0,0.0,0.0,0.0,0.00227,0.0,0.0,0.00152,0.0,0.00027,0.00051,0.0,0.00025,0.00018,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,"0,00007"
щ,0.00032,0.0,0.0,0.0,0.0,0.00159,0.0,0.0,0.00054,0.0,0.0,0.0,0.0,"0,00002",0.0,0.0,"0,00002",0.0,0.0,"0,00008",0.0,0.0,0.0,0.0,0.0,0.0,"0,00003",0.0,0.0,0.0,0.0,0.0
ь,0.0,0.00017,"0,00001","0,00002","0,00001",0.00049,0.0,0.00021,"0,00006",0.0,0.00121,0.0,0.0005,0.00128,"0,00001","0,00001",0.0,0.00174,"0,00009",0.0,0.0,0.0,"0,00003","0,00002",0.00067,"0,00002",0.0,0.0,"0,00002",0.00046,0.00048,0.01117
ы,0.0,0.00018,0.00089,"0,00008",0.0001,0.00088,0.0,0.00015,"0,00001",0.00079,0.00017,0.00199,0.00147,0.00015,0.0,"0,00007",0.00026,0.0007,0.00077,0.0,0.0,0.00082,0.0,0.00012,0.00034,"0,00001",0.0,0.0,"0,00001",0.0,"0,00002",0.00499
э,0.0,0.0,0.0,"0,00001","0,00001",0.0,0.0,0.0,0.0,0.0,"0,00009",0.00119,"0,00002","0,00002",0.0,"0,00002",0.00021,"0,00001",0.00253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ю,0.0,0.00048,0.0,0.0,0.0003,0.0,0.0,"0,00002","0,00001",0.0,"0,00001",0.0,"0,00001","0,00006",0.0,0.0,"0,00003",0.00029,0.00027,0.0,0.0,0.0,0.0,"0,00008","0,00003",0.00037,0.0,0.0,0.0,"0,00002",0.0,0.00231
я,0.0,"0,00002",0.00037,"0,00005",0.00042,0.00017,0.00011,0.00037,"0,00004","0,00007",0.00015,0.00058,0.00051,0.00049,"0,00001","0,00004","0,00003",0.00051,0.00137,0.0,0.0,0.00018,"0,00004",0.00011,"0,00001",0.00019,0.0,0.0,"0,00001",0.0001,"0,00008",0.0108
 ,0.00077,0.00792,0.0145,0.00196,0.00837,0.00544,0.00169,0.00344,0.008,0.0,0.00765,0.00297,0.00871,0.0151,0.0128,0.01538,0.00352,0.01471,0.0055,0.00453,0.00036,0.00143,0.0002,0.00538,0.0004,"0,00003",0.0,0.0,0.00338,"0,00006",0.00201,0.00223
